Pick,Assigned Value,pct of total draft value,pct x 1000
1,"3,000",4.938%,42.79
2,"2,600",4.279%,36.21
3,"2,200",3.621%,29.63
4,"1,800",2.963%,27.98
5,"1,700",2.798%,26.33
6,"1,600",2.633%,24.69
7,"1,500",2.469%,23.04
8,"1,400",2.304%,22.22
9,"1,350",2.222%,21.40
10,"1,300",2.140%,20.57
11,"1,250",2.057%,19.75
12,"1,200",1.975%,18.93
13,"1,150",1.893%,18.11
14,"1,100",1.811%,17.28
15,"1,050",1.728%,16.46
16,"1,000",1.646%,15.64
17,950,1.564%,14.81
18,900,1.481%,14.40
19,875,1.440%,13.99
20,850,1.399%,13.17
21,800,1.317%,12.84
22,780,1.284%,12.51
23,760,1.251%,12.18
24,740,1.218%,11.85
25,720,1.185%,11.52
26,700,1.152%,11.19
27,680,1.119%,10.86
28,660,1.086%,10.53
29,640,1.053%,10.20
30,620,1.020%,9.88
31,600,0.988%,9.71
32,590,0.971%,9.55
33,580,0.955%,9.22
34,560,0.922%,9.05
35,550,0.905%,8.89
36,540,0.889%,8.72
37,530,0.872%,8.56
38,520,0.856%,8.39
39,510,0.839%,8.23
40,500,0.823%,8.06
41,490,0.806%,7.90
42,480,0.790%,7.74
43,470,0.774%,7.57
44,460,0.757%,7.41
45,450,0.741%,7.24
46,440,0.724%,7.08
47,430,0.708%,6.91
48,420,0.691%,6.75
49,410,0.675%,6.58
50,400,0.658%,6.42
51,390,0.642%,6.25
52,380,0.625%,6.09
53,370,0.609%,5.93
54,360,0.593%,5.76
55,350,0.576%,5.60
56,340,0.560%,5.43
57,330,0.543%,5.27
58,320,0.527%,5.10
59,310,0.510%,4.94
60,300,0.494%,4.81
61,292,0.481%,4.67
62,284,0.467%,4.54
63,276,0.454%,4.44
64,270,0.444%,4.36
65,265,0.436%,4.28
66,260,0.428%,4.20
67,255,0.420%,4.11
68,250,0.411%,4.03
69,245,0.403%,3.95
70,240,0.395%,3.87
71,235,0.387%,3.79
72,230,0.379%,3.70
73,225,0.370%,3.62
74,220,0.362%,3.54
75,215,0.354%,3.46
76,210,0.346%,3.37
77,205,0.337%,3.29
78,200,0.329%,3.21
79,195,0.321%,3.13
80,190,0.313%,3.04
81,185,0.304%,2.96
82,180,0.296%,2.88
83,175,0.288%,2.80
84,170,0.280%,2.72
85,165,0.272%,2.63
86,160,0.263%,2.55
87,155,0.255%,2.47
88,150,0.247%,2.39
89,145,0.239%,2.30
90,140,0.230%,2.24
91,136,0.224%,2.17
92,132,0.217%,2.11
93,128,0.211%,2.04
94,124,0.204%,1.98
95,120,0.198%,1.91
96,116,0.191%,1.84
97,112,0.184%,1.78
98,108,0.178%,1.71
99,104,0.171%,1.65
100,100,0.165%,1.58
101,96,0.158%,1.51
102,92,0.151%,1.45
103,88,0.145%,1.42
104,86,0.142%,1.38
105,84,0.138%,1.35
106,82,0.135%,1.32
107,80,0.132%,1.28
108,78,0.128%,1.25
109,76,0.125%,1.22
110,74,0.122%,1.19
111,72,0.119%,1.15
112,70,0.115%,1.12
113,68,0.112%,1.09
114,66,0.109%,1.05
115,64,0.105%,1.02
116,62,0.102%,0.99
117,60,0.099%,0.95
118,58,0.095%,0.92
119,56,0.092%,0.89
120,54,0.089%,0.86
121,52,0.086%,0.82
122,50,0.082%,0.81
123,49,0.081%,0.79
124,48,0.079%,0.77
125,47,0.077%,0.76
126,46,0.076%,0.74
127,45,0.074%,0.72
128,44,0.072%,0.71
129,43,0.071%,0.69
130,42,0.069%,0.67
131,41,0.067%,0.66
132,40,0.066%,0.65
133,39.5,0.065%,0.64
134,39,0.064%,0.63
135,38.5,0.063%,0.63
136,38,0.063%,0.62
137,37.5,0.062%,0.61
138,37,0.061%,0.60
139,36.5,0.060%,0.59
140,36,0.059%,0.58
141,35.5,0.058%,0.58
142,35,0.058%,0.57
143,34.5,0.057%,0.56
144,34,0.056%,0.55
145,33.5,0.055%,0.54
146,33,0.054%,0.54
147,32.6,0.054%,0.53
148,32.2,0.053%,0.52
149,31.8,0.052%,0.52
150,31.4,0.052%,0.51
151,31,0.051%,0.50
152,30.6,0.050%,0.50
153,30.2,0.050%,0.49
154,29.8,0.049%,0.48
155,29.4,0.048%,0.48
156,29,0.048%,0.47
157,28.6,0.047%,0.46
158,28.2,0.046%,0.46
159,27.8,0.046%,0.45
160,27.4,0.045%,0.44
161,27,0.044%,0.44
162,26.6,0.044%,0.43
163,26.2,0.043%,0.42
164,25.8,0.042%,0.42
165,25.4,0.042%,0.41
166,25,0.041%,0.40
167,24.6,0.040%,0.40
168,24.2,0.040%,0.39
169,23.8,0.039%,0.39
170,23.4,0.039%,0.38
171,23,0.038%,0.37
172,22.6,0.037%,0.37
173,22.2,0.037%,0.36
174,21.8,0.036%,0.35
175,21.4,0.035%,0.35
176,21,0.035%,0.34
177,20.6,0.034%,0.33
178,20.2,0.033%,0.33
179,19.8,0.033%,0.32
180,19.4,0.032%,0.31
181,19,0.031%,0.31
182,18.6,0.031%,0.30
183,18.2,0.030%,0.29
184,17.8,0.029%,0.29
185,17.4,0.029%,0.28
186,17,0.028%,0.27
187,16.6,0.027%,0.27
188,16.2,0.027%,0.26
189,15.8,0.026%,0.25
190,15.4,0.025%,0.25
191,15,0.025%,0.24
192,14.6,0.024%,0.23
193,14.2,0.023%,0.23
194,13.8,0.023%,0.22
195,13.4,0.022%,0.21
196,13,0.021%,0.21
197,12.6,0.021%,0.20
198,12.2,0.020%,0.19
199,11.8,0.019%,0.19
200,11.4,0.019%,0.18
201,11,0.018%,0.17
202,10.6,0.017%,0.17
203,10.2,0.017%,0.16
204,9.8,0.016%,0.15
205,9.4,0.015%,0.15
206,9,0.015%,0.14
207,8.6,0.014%,0.13
208,8.2,0.013%,0.13
209,7.8,0.013%,0.12
210,7.4,0.012%,0.12
211,7,0.012%,0.11
212,6.6,0.011%,0.10
213,6.2,0.010%,0.10
214,5.8,0.010%,0.09
215,5.4,0.009%,0.08
216,5,0.008%,0.08
217,4.6,0.008%,0.07
218,4.2,0.007%,0.06
219,3.8,0.006%,0.06
220,3.4,0.006%,0.05
221,3,0.005%,0.04
222,2.6,0.004%,0.04
223,2.3,0.004%,0.03
224,2,0.003%,0.03
225,2,0.003%,0.03
226,2,0.003%,0.03
227,2,0.003%,0.03
228,2,0.003%,0.03
229,2,0.003%,0.03
230,2,0.003%,0.03
231,2,0.003%,0.03
232,2,0.003%,0.03
233,2,0.003%,0.03
234,2,0.003%,0.03
235,2,0.003%,0.03
236,2,0.003%,0.03
237,2,0.003%,0.03
238,2,0.003%,0.03
239,2,0.003%,0.03
240,2,0.003%,0.03
241,2,0.003%,0.03
242,2,0.003%,0.03
243,2,0.003%,0.03
244,2,0.003%,0.03
245,2,0.003%,0.03
246,2,0.003%,0.03
247,2,0.003%,0.03
248,2,0.003%,0.03
249,2,0.003%,0.03
250,2,0.003%,0.03
251,2,0.003%,0.03
252,2,0.003%,0.03
253,2,0.003%,0.03
254,2,0.003%,0.03
255,2,0.003%,0.03
256,2,0.003%,0.03
257,2,0.003%,0.03
258,2,0.003%,0.03
259,2,0.003%,0.03
260,2,0.003%,0.00